target,model,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
9b7g_QP,protenix,HA,A,head,11,1.0,5,251,1.0,0.574,0.703,0.055,0.109,0.518,0.662,0.472,0.489,16.7,11.646,16.989,15.776
8t4d_OQ,protenix,Env,A,N332,0,2935.914,5,72,0.16,0.081,0.106,0.13,0.188,0.628,0.754,0.352,0.341,34.75,29.269,24.141,19.973
8t4d_OQ,protenix,Env,A,N332,1,1433.539,5,72,0.16,0.176,0.52,0.183,0.227,0.761,0.83,0.424,0.795,28.177,13.901,18.451,6.415
8t4d_OQ,protenix,Env,A,N332,2,674.603,5,72,0.16,0.223,0.293,0.228,0.366,0.832,0.92,0.536,0.544,11.686,5.726,15.383,16.927
8t4d_OQ,protenix,Env,A,N332,3,319.087,5,72,0.16,0.196,0.245,0.115,0.16,0.669,0.795,0.576,0.61,16.372,9.513,18.314,13.476
8t4d_OQ,protenix,Env,A,N332,4,153.583,5,72,0.16,0.276,0.13,0.197,0.304,0.812,0.885,0.671,0.62,11.336,16.705,13.464,18.201
8t4d_OQ,protenix,Env,A,N332,5,81.0,5,72,0.16,0.281,0.24,0.301,0.46,0.886,0.939,0.671,0.689,10.638,4.623,12.694,13.723
8t4d_OQ,protenix,Env,A,N332,6,31.0,5,72,0.16,0.147,0.161,0.152,0.232,0.742,0.853,0.514,0.567,14.272,12.522,13.55,17.237
8t4d_OQ,protenix,Env,A,N332,7,14.0,5,72,0.16,0.437,0.521,0.165,0.219,0.782,0.857,0.727,0.769,16.134,13.623,7.91,5.141
8t4d_OQ,protenix,Env,A,N332,8,4.0,5,72,0.16,0.226,0.286,0.138,0.221,0.7,0.819,0.56,0.644,12.496,7.041,13.795,11.093
8t4d_OQ,protenix,Env,A,N332,9,3.0,5,72,0.16,0.235,0.315,0.109,0.176,0.644,0.827,0.56,0.652,12.192,6.699,13.566,10.849
8t4d_OQ,protenix,Env,A,N332,10,1.0,5,72,0.16,0.216,0.154,0.058,0.098,0.525,0.67,0.562,0.476,12.298,4.128,8.572,11.305
8t4d_OQ,protenix,Env,A,N332,11,1.0,5,72,0.16,0.187,0.149,0.08,0.179,0.581,0.818,0.55,0.525,11.0,10.893,9.078,12.174
8tq1_CD,protenix,Env,B,MPER,0,205.166,5,0,0.0,0.0,0.0,0.028,0.06,0.354,0.538,,,18.931,18.307,,
8tq1_CD,protenix,Env,B,MPER,1,143.733,5,0,0.0,0.0,0.0,0.032,0.041,0.314,0.394,,,19.886,17.485,,
8tq1_CD,protenix,Env,B,MPER,2,89.064,5,0,0.0,0.0,0.0,0.032,0.06,0.319,0.405,,,20.762,28.665,,
8tq1_CD,protenix,Env,B,MPER,3,56.154,5,0,0.0,0.0,0.0,0.021,0.046,0.193,0.32,,,26.978,22.58,,
8tq1_CD,protenix,Env,B,MPER,4,37.605,5,0,0.0,0.0,0.0,0.037,0.053,0.37,0.467,,,17.203,15.808,,
8tq1_CD,protenix,Env,B,MPER,5,24.278,5,0,0.0,0.0,0.0,0.035,0.063,0.305,0.572,,,20.83,18.398,,
8tq1_CD,protenix,Env,B,MPER,6,14.03,5,0,0.0,0.0,0.0,0.048,0.073,0.402,0.486,,,14.429,13.342,,
8tq1_CD,protenix,Env,B,MPER,7,7.542,5,0,0.0,0.0,0.0,0.066,0.16,0.468,0.73,,,9.624,6.774,,
8tq1_CD,protenix,Env,B,MPER,8,6.35,5,0,0.0,0.0,0.0,0.022,0.046,0.238,0.308,,,29.539,28.361,,
8tq1_CD,protenix,Env,B,MPER,9,2.0,5,0,0.0,0.0,0.0,0.037,0.079,0.329,0.441,,,26.619,26.202,,
8tq1_CD,protenix,Env,B,MPER,10,1.0,5,0,0.0,0.0,0.0,0.056,0.093,0.391,0.509,,,22.974,22.003,,
8tq1_CD,protenix,Env,B,MPER,11,1.0,5,0,0.0,0.0,0.0,0.033,0.066,0.407,0.563,,,8.896,18.519,,
9mqr_DE,protenix,C,C,CD97,0,704.691,5,0,,,,0.078,0.389,0.321,0.772,,,19.634,12.677,,
9mqr_DE,protenix,C,C,CD97,1,391.169,5,0,,,,0.142,0.625,0.392,0.908,,,19.511,4.95,,
9mqr_DE,protenix,C,C,CD97,2,196.333,5,0,,,,0.0,0.0,0.18,0.154,,,23.159,24.526,,
9mqr_DE,protenix,C,C,CD97,3,98.0,5,0,,,,0.197,0.676,0.5,0.931,,,17.691,1.955,,
9mqr_DE,protenix,C,C,CD97,4,36.0,5,0,,,,0.169,0.365,0.492,0.845,,,18.651,9.182,,
9mqr_DE,protenix,C,C,CD97,5,17.0,5,0,,,,0.0,0.0,0.19,0.194,,,23.176,27.66,,
9mqr_DE,protenix,C,C,CD97,6,9.0,5,0,,,,0.105,0.523,0.366,0.892,,,20.862,3.299,,
9mqr_DE,protenix,C,C,CD97,7,7.0,5,0,,,,0.207,0.356,0.641,0.783,,,15.463,11.156,,
9mqr_DE,protenix,C,C,CD97,8,4.0,5,0,,,,0.004,0.02,0.22,0.343,,,20.445,18.306,,
9mqr_DE,protenix,C,C,CD97,9,1.0,5,0,,,,0.051,0.143,0.313,0.413,,,20.15,15.112,,
9mqr_DE,protenix,C,C,CD97,10,2.0,5,0,,,,0.087,0.133,0.359,0.406,,,20.428,18.293,,
9mqr_DE,protenix,C,C,CD97,11,1.0,5,0,,,,0.041,0.163,0.377,0.567,,,18.742,16.651,,
8q5y_GH,protenix,RBD,A,class1/2(RBM),0,28.326,5,73,0.85,0.573,0.341,0.031,0.073,0.475,0.521,0.635,0.525,22.012,21.692,13.995,20.537
8q5y_GH,protenix,RBD,A,class1/2(RBM),1,20.843,5,73,0.85,0.457,0.825,0.082,0.25,0.516,0.776,0.517,0.772,25.265,15.377,21.279,3.116
8q5y_GH,protenix,RBD,A,class1/2(RBM),2,16.742,5,73,0.85,0.694,0.8,0.151,0.244,0.711,0.785,0.73,0.786,16.864,15.461,8.051,3.035
8q5y_GH,protenix,RBD,A,class1/2(RBM),3,12.467,5,73,0.85,0.887,0.97,0.242,0.303,0.788,0.822,0.779,0.799,14.532,16.025,4.062,4.127
8q5y_GH,protenix,RBD,A,class1/2(RBM),4,10.117,5,73,0.85,0.332,0.889,0.036,0.111,0.391,0.673,0.469,0.784,25.962,12.887,24.147,4.78
8q5y_GH,protenix,RBD,A,class1/2(RBM),5,7.333,5,73,0.85,0.361,0.684,0.09,0.193,0.485,0.775,0.523,0.729,20.299,8.374,18.283,3.551
8q5y_GH,protenix,RBD,A,class1/2(RBM),6,3.583,5,73,0.85,0.268,0.294,0.057,0.137,0.437,0.636,0.462,0.532,22.952,19.829,23.392,22.7
8q5y_GH,protenix,RBD,A,class1/2(RBM),7,4.0,5,73,0.85,0.227,0.22,0.023,0.04,0.269,0.221,0.392,0.398,20.399,22.532,20.356,22.605
8q5y_GH,protenix,RBD,A,class1/2(RBM),8,3.0,5,73,0.85,0.367,0.471,0.101,0.206,0.517,0.728,0.504,0.637,16.311,10.271,14.36,9.928
8q5y_GH,protenix,RBD,A,class1/2(RBM),9,2.0,5,73,0.85,0.409,0.448,0.088,0.119,0.504,0.602,0.554,0.625,14.726,15.001,10.311,6.311
8q5y_GH,protenix,RBD,A,class1/2(RBM),10,1.0,5,73,0.85,0.212,0.22,0.111,0.22,0.544,0.765,0.422,0.416,14.512,11.992,14.857,15.819
8q5y_GH,protenix,RBD,A,class1/2(RBM),11,1.0,5,73,0.85,0.186,0.358,0.109,0.239,0.601,0.784,0.391,0.449,14.439,7.987,15.859,14.205
8k46_I,protenix,RBD,B,class4,0,37.236,5,73,0.36,0.846,0.667,0.083,0.179,0.599,0.702,0.774,0.722,21.181,17.897,4.194,4.334
8k46_I,protenix,RBD,B,class4,1,28.355,5,73,0.36,0.855,0.885,0.054,0.077,0.577,0.6,0.785,0.791,21.733,21.964,3.471,3.478
8k46_I,protenix,RBD,B,class4,2,22.35,5,73,0.36,0.83,0.968,0.072,0.097,0.573,0.604,0.775,0.789,21.237,20.05,3.609,5.208
8k46_I,protenix,RBD,B,class4,3,14.267,5,73,0.36,0.759,0.524,0.103,0.262,0.594,0.731,0.762,0.688,20.163,14.571,4.132,6.935
8k46_I,protenix,RBD,B,class4,4,13.0,5,73,0.36,0.772,0.267,0.187,0.667,0.637,0.913,0.705,0.38,15.849,1.486,7.312,19.851
8k46_I,protenix,RBD,B,class4,5,9.333,5,73,0.36,0.767,0.387,0.223,0.742,0.658,0.929,0.705,0.405,16.986,0.711,6.972,19.777
8k46_I,protenix,RBD,B,class4,6,5.667,5,73,0.36,0.874,0.632,0.059,0.237,0.53,0.715,0.781,0.727,21.755,15.144,5.706,6.858
8k46_I,protenix,RBD,B,class4,7,3.0,5,73,0.36,0.886,0.88,0.091,0.12,0.59,0.643,0.786,0.784,20.851,20.518,5.101,5.472
8k46_I,protenix,RBD,B,class4,8,2.0,5,73,0.36,0.752,0.9,0.0,0.0,0.378,0.447,0.743,0.78,18.716,20.808,5.283,5.015
8k46_I,protenix,RBD,B,class4,9,2.0,5,73,0.36,0.202,0.225,0.045,0.075,0.446,0.657,0.42,0.432,17.494,9.981,20.539,19.125
8k46_I,protenix,RBD,B,class4,10,1.0,5,73,0.36,0.267,0.127,0.085,0.143,0.476,0.568,0.472,0.442,12.508,11.565,13.359,11.307
8k46_I,protenix,RBD,B,class4,11,1.0,5,73,0.36,0.283,0.213,0.087,0.147,0.484,0.55,0.489,0.485,12.544,10.51,13.235,10.051
9bdg_FI,protenix,HA,A,head,0,183.969,5,251,1.0,1.0,1.0,0.366,0.833,0.833,0.948,0.664,0.665,13.71,3.958,15.327,9.075
9bdg_FI,protenix,HA,A,head,1,127.756,5,251,1.0,0.928,1.0,0.291,0.378,0.764,0.889,0.632,0.668,16.447,13.22,15.747,14.053
9bdg_FI,protenix,HA,A,head,2,88.441,5,251,1.0,0.861,1.0,0.168,0.357,0.7,0.86,0.595,0.64,23.696,16.146,21.638,14.511
9bdg_FI,protenix,HA,A,head,3,54.161,5,251,1.0,1.0,1.0,0.226,0.457,0.803,0.892,0.662,0.655,16.799,12.295,16.906,12.025
9bdg_FI,protenix,HA,A,head,4,35.023,5,251,1.0,1.0,1.0,0.095,0.122,0.724,0.7,0.658,0.658,18.125,16.529,17.359,15.492
9bdg_FI,protenix,HA,A,head,5,24.917,5,251,1.0,0.92,1.0,0.192,0.37,0.7,0.88,0.614,0.667,15.781,12.875,13.354,13.985
9bdg_FI,protenix,HA,A,head,6,14.0,5,251,1.0,1.0,1.0,0.306,0.4,0.846,0.879,0.668,0.67,14.5,12.551,15.256,14.101
9bdg_FI,protenix,HA,A,head,7,10.0,5,251,1.0,1.0,1.0,0.365,0.457,0.865,0.892,0.66,0.662,13.557,12.125,14.542,15.365
9bdg_FI,protenix,HA,A,head,8,4.0,5,251,1.0,0.907,0.951,0.116,0.268,0.616,0.693,0.592,0.616,18.676,15.908,14.588,11.039
9bdg_FI,protenix,HA,A,head,9,3.0,5,251,1.0,0.778,1.0,0.139,0.296,0.622,0.797,0.567,0.611,16.663,11.689,16.433,15.881
9bdg_FI,protenix,HA,A,head,10,2.0,5,251,1.0,0.574,1.0,0.074,0.26,0.453,0.806,0.488,0.666,20.294,8.644,17.209,11.622
9bdg_FI,protenix,HA,A,head,11,1.0,5,251,1.0,0.58,0.717,0.066,0.132,0.459,0.509,0.481,0.551,17.839,16.39,16.328,15.187
8t4a_PR,protenix,Env,A,N332,0,2820.437,5,72,0.25,0.068,0.095,0.13,0.167,0.858,0.887,0.362,0.4,36.349,36.57,24.376,24.891
8t4a_PR,protenix,Env,A,N332,1,1396.689,5,72,0.25,0.415,0.143,0.138,0.206,0.863,0.92,0.68,0.469,18.025,15.042,8.404,13.342
8t4a_PR,protenix,Env,A,N332,2,640.632,5,72,0.25,0.153,0.182,0.25,0.455,0.928,0.967,0.522,0.646,17.824,3.675,16.752,17.701
8t4a_PR,protenix,Env,A,N332,3,311.528,5,72,0.25,0.189,0.12,0.189,0.28,0.877,0.929,0.545,0.587,20.362,16.866,16.994,19.167
8t4a_PR,protenix,Env,A,N332,4,146.6,5,72,0.25,0.247,0.227,0.214,0.273,0.921,0.936,0.625,0.65,12.783,8.457,11.797,14.035
8t4a_PR,protenix,Env,A,N332,5,69.25,5,72,0.25,0.383,0.229,0.173,0.208,0.887,0.897,0.712,0.672,14.695,15.802,10.771,16.947
8t4a_PR,protenix,Env,A,N332,6,27.0,5,72,0.25,0.33,0.315,0.223,0.259,0.929,0.938,0.701,0.698,9.139,6.639,10.665,13.041
8t4a_PR,protenix,Env,A,N332,7,16.0,5,72,0.25,0.216,0.163,0.152,0.245,0.855,0.92,0.608,0.614,17.535,17.126,10.487,18.285
8t4a_PR,protenix,Env,A,N332,8,8.0,5,72,0.25,0.236,0.262,0.122,0.167,0.83,0.905,0.595,0.671,11.343,11.47,9.651,4.407
8t4a_PR,protenix,Env,A,N332,9,4.0,5,72,0.25,0.3,0.321,0.128,0.192,0.812,0.913,0.625,0.677,8.88,5.25,10.147,9.699
8t4a_PR,protenix,Env,A,N332,10,2.0,5,72,0.25,0.192,0.227,0.082,0.147,0.673,0.846,0.546,0.549,13.369,10.201,8.445,13.108
8t4a_PR,protenix,Env,A,N332,11,1.0,5,72,0.25,0.219,0.197,0.063,0.118,0.608,0.57,0.539,0.5,12.798,17.108,9.269,13.411
8tl5_IJ,protenix,Env,B,gp120gp41,0,212.877,5,76,0.0,0.285,0.179,0.0,0.0,0.228,0.206,0.608,0.579,51.77,47.997,15.922,16.645
8tl5_IJ,protenix,Env,B,gp120gp41,1,144.238,5,76,0.0,0.407,0.75,0.0,0.0,0.2,0.155,0.743,0.791,54.435,50.872,12.117,5.483
8tl5_IJ,protenix,Env,B,gp120gp41,2,92.801,5,76,0.0,0.349,0.188,0.0,0.0,0.274,0.269,0.651,0.499,49.718,46.838,16.005,18.534
8tl5_IJ,protenix,Env,B,gp120gp41,3,57.722,5,76,0.0,0.322,0.791,0.0,0.0,0.249,0.167,0.584,0.738,50.341,42.668,18.742,10.728
8tl5_IJ,protenix,Env,B,gp120gp41,4,41.962,5,76,0.0,0.243,0.574,0.0,0.0,0.258,0.289,0.668,0.848,46.065,32.683,16.197,6.984
8tl5_IJ,protenix,Env,B,gp120gp41,5,31.326,5,76,0.0,0.486,0.486,0.0,0.0,0.175,0.164,0.758,0.755,47.744,48.591,11.85,9.765
8tl5_IJ,protenix,Env,B,gp120gp41,6,14.632,5,76,0.0,0.521,0.492,0.0,0.0,0.179,0.161,0.783,0.776,51.54,52.045,10.794,12.269
8tl5_IJ,protenix,Env,B,gp120gp41,7,8.262,5,76,0.0,0.426,0.367,0.06,0.067,0.558,0.505,0.615,0.587,25.558,35.915,19.131,22.797
8tl5_IJ,protenix,Env,B,gp120gp41,8,3.883,5,76,0.0,0.083,0.128,0.033,0.051,0.486,0.527,0.511,0.569,20.364,17.011,13.34,7.078
8tl5_IJ,protenix,Env,B,gp120gp41,9,5.0,5,76,0.0,0.149,0.29,0.015,0.032,0.452,0.504,0.489,0.514,21.285,21.08,18.481,17.556
8tl5_IJ,protenix,Env,B,gp120gp41,10,1.0,5,76,0.0,0.177,0.108,0.04,0.059,0.579,0.703,0.522,0.483,14.441,9.753,16.529,20.465
8tl5_IJ,protenix,Env,B,gp120gp41,11,1.0,5,76,0.0,0.2,0.291,0.007,0.036,0.488,0.672,0.491,0.538,20.172,10.477,19.396,13.859
9kkj_HL,protenix,C,C,Nectin-4,0,2270.445,5,0,,,,0.276,0.357,0.577,0.671,,,11.561,12.207,,
9kkj_HL,protenix,C,C,Nectin-4,1,1269.808,5,0,,,,0.318,0.5,0.594,0.697,,,12.964,11.294,,
9kkj_HL,protenix,C,C,Nectin-4,2,692.331,5,0,,,,0.268,0.3,0.592,0.619,,,12.332,13.365,,
9kkj_HL,protenix,C,C,Nectin-4,3,338.7,5,0,,,,0.302,0.341,0.609,0.622,,,10.89,10.557,,
9kkj_HL,protenix,C,C,Nectin-4,4,166.091,5,0,,,,0.278,0.385,0.589,0.678,,,11.801,11.766,,
9kkj_HL,protenix,C,C,Nectin-4,5,81.0,5,0,,,,0.47,0.571,0.716,0.746,,,9.925,10.836,,
9kkj_HL,protenix,C,C,Nectin-4,6,33.0,5,0,,,,0.457,0.571,0.699,0.745,,,9.117,7.776,,
9kkj_HL,protenix,C,C,Nectin-4,7,19.0,5,0,,,,0.25,0.333,0.56,0.621,,,11.753,12.343,,
9kkj_HL,protenix,C,C,Nectin-4,8,10.0,5,0,,,,0.351,0.409,0.648,0.701,,,12.076,12.073,,
9kkj_HL,protenix,C,C,Nectin-4,9,4.0,5,0,,,,0.332,0.45,0.62,0.698,,,12.631,12.499,,
9kkj_HL,protenix,C,C,Nectin-4,10,2.0,5,0,,,,0.234,0.278,0.539,0.569,,,12.004,11.76,,
9kkj_HL,protenix,C,C,Nectin-4,11,1.0,5,0,,,,0.253,0.37,0.566,0.649,,,7.145,7.33,,
8kdm_GF,protenix,RBD,A,class1/2(RBM),0,35.766,5,72,0.19,0.737,0.426,0.0,0.0,0.334,0.251,0.744,0.617,25.873,19.282,7.581,12.701
8kdm_GF,protenix,RBD,A,class1/2(RBM),1,26.237,5,72,0.19,0.731,0.87,0.012,0.043,0.296,0.432,0.74,0.792,26.098,27.188,5.677,2.252
8kdm_GF,protenix,RBD,A,class1/2(RBM),2,16.333,5,72,0.19,0.447,0.386,0.03,0.071,0.314,0.465,0.607,0.559,17.316,13.39,14.79,16.688
8kdm_GF,protenix,RBD,A,class1/2(RBM),3,12.133,5,72,0.19,0.705,0.898,0.012,0.061,0.353,0.554,0.742,0.81,25.471,27.673,6.593,4.733
8kdm_GF,protenix,RBD,A,class1/2(RBM),4,8.0,5,72,0.19,0.514,0.364,0.091,0.17,0.451,0.705,0.647,0.542,18.857,12.088,13.11,17.801
8kdm_GF,protenix,RBD,A,class1/2(RBM),5,8.667,5,72,0.19,0.917,0.917,0.0,0.0,0.37,0.362,0.805,0.807,29.99,29.67,6.665,6.768
8kdm_GF,protenix,RBD,A,class1/2(RBM),6,7.0,5,72,0.19,0.392,0.387,0.216,0.29,0.727,0.822,0.57,0.545,12.349,12.874,18.27,17.404
8kdm_GF,protenix,RBD,A,class1/2(RBM),7,5.0,5,72,0.19,0.328,0.488,0.047,0.073,0.387,0.393,0.495,0.667,16.081,18.002,18.696,11.982
8kdm_GF,protenix,RBD,A,class1/2(RBM),8,1.0,5,72,0.19,0.543,0.435,0.05,0.082,0.38,0.462,0.678,0.603,19.821,20.29,10.287,13.297
8kdm_GF,protenix,RBD,A,class1/2(RBM),9,2.0,5,72,0.19,0.284,0.33,0.096,0.149,0.543,0.639,0.45,0.544,10.947,10.003,14.003,12.142
8kdm_GF,protenix,RBD,A,class1/2(RBM),10,1.0,5,72,0.19,0.31,0.253,0.117,0.203,0.57,0.738,0.477,0.431,8.881,4.713,12.563,17.565
8kdm_GF,protenix,RBD,A,class1/2(RBM),11,1.0,5,72,0.19,0.343,0.466,0.104,0.137,0.538,0.573,0.508,0.617,9.368,8.503,12.562,7.992
8vye_AD,protenix,RBD,B,class3,0,27.685,5,63,0.0,0.253,0.0,0.011,0.057,0.355,0.814,0.464,0.228,16.186,16.957,21.804,30.634
8vye_AD,protenix,RBD,B,class3,1,22.188,5,63,0.0,0.247,0.018,0.004,0.018,0.327,0.763,0.447,0.253,17.559,17.091,21.887,31.901
8vye_AD,protenix,RBD,B,class3,2,14.233,5,63,0.0,0.471,0.493,0.026,0.045,0.594,0.863,0.651,0.673,9.156,7.757,13.556,11.988
8vye_AD,protenix,RBD,B,class3,3,11.417,5,63,0.0,0.393,0.347,0.0,0.0,0.291,0.327,0.613,0.565,17.92,12.271,14.116,19.969
8vye_AD,protenix,RBD,B,class3,4,12.0,5,63,0.0,0.233,0.143,0.018,0.054,0.437,0.879,0.467,0.306,17.608,13.296,19.477,22.599
8vye_AD,protenix,RBD,B,class3,5,7.0,5,63,0.0,0.167,0.096,0.003,0.014,0.256,0.465,0.376,0.279,20.776,20.23,28.645,32.523
8vye_AD,protenix,RBD,B,class3,6,5.667,5,63,0.0,0.186,0.23,0.016,0.023,0.646,0.722,0.387,0.415,14.728,13.095,15.65,10.67
8vye_AD,protenix,RBD,B,class3,7,2.0,5,63,0.0,0.447,0.154,0.017,0.038,0.598,0.748,0.595,0.336,15.603,11.737,9.956,13.27
8vye_AD,protenix,RBD,B,class3,8,3.0,5,63,0.0,0.52,0.517,0.012,0.05,0.41,0.892,0.687,0.705,20.604,12.167,7.977,9.194
8vye_AD,protenix,RBD,B,class3,9,1.0,5,63,0.0,0.331,0.161,0.015,0.036,0.638,0.745,0.522,0.381,13.568,13.72,10.845,14.2
8vye_AD,protenix,RBD,B,class3,10,1.0,5,63,0.0,0.271,0.393,0.025,0.054,0.741,0.833,0.445,0.51,13.889,14.648,13.85,12.036
8vye_AD,protenix,RBD,B,class3,11,1.0,5,63,0.0,0.228,0.146,0.024,0.062,0.705,0.951,0.427,0.359,13.331,8.804,14.049,13.598
8ume_HL,protenix,HA,A,head,0,175.081,5,246,0.773,0.516,0.815,0.284,0.556,0.818,0.948,0.517,0.644,15.785,5.937,25.899,17.176
8ume_HL,protenix,HA,A,head,1,121.354,5,246,0.773,0.785,0.714,0.494,0.679,0.87,0.963,0.629,0.598,11.223,2.624,20.002,20.421
8ume_HL,protenix,HA,A,head,2,81.02,5,246,0.773,0.667,0.828,0.396,0.621,0.829,0.963,0.59,0.653,14.127,4.14,21.617,16.303
8ume_HL,protenix,HA,A,head,3,47.163,5,246,0.773,0.829,0.714,0.221,0.357,0.799,0.92,0.631,0.498,17.542,9.805,13.9,20.343
8ume_HL,protenix,HA,A,head,4,36.56,5,246,0.773,0.742,0.75,0.473,0.708,0.929,0.963,0.656,0.591,10.206,2.338,14.028,18.43
8ume_HL,protenix,HA,A,head,5,22.333,5,246,0.773,0.62,0.833,0.241,0.667,0.725,0.935,0.513,0.474,25.725,9.767,32.006,27.851
8ume_HL,protenix,HA,A,head,6,12.333,5,246,0.773,0.87,0.769,0.203,0.346,0.807,0.918,0.671,0.686,19.382,12.375,13.636,15.008
8ume_HL,protenix,HA,A,head,7,10.0,5,246,0.773,0.601,0.731,0.278,0.615,0.679,0.958,0.565,0.639,17.414,4.697,18.403,17.02
8ume_HL,protenix,HA,A,head,8,5.0,5,246,0.773,0.882,0.919,0.1,0.189,0.738,0.678,0.681,0.674,11.681,10.877,15.291,13.134
8ume_HL,protenix,HA,A,head,9,4.0,5,246,0.773,0.461,0.622,0.126,0.405,0.547,0.909,0.473,0.511,19.914,7.002,25.825,24.327
8ume_HL,protenix,HA,A,head,10,2.0,5,246,0.773,0.196,0.459,0.053,0.162,0.593,0.764,0.423,0.454,28.689,13.761,36.305,21.459
8ume_HL,protenix,HA,A,head,11,1.0,5,246,0.773,0.207,0.059,0.02,0.059,0.549,0.742,0.443,0.449,27.993,30.035,31.391,39.279
9w43_AB,protenix,C,C,PD-1,0,4555.159,5,0,,,,0.159,0.273,0.366,0.438,,,10.761,9.926,,
9w43_AB,protenix,C,C,PD-1,1,2219.055,5,0,,,,0.169,0.3,0.397,0.496,,,9.292,9.814,,
9w43_AB,protenix,C,C,PD-1,2,1056.999,5,0,,,,0.189,0.206,0.42,0.425,,,8.986,8.846,,
9w43_AB,protenix,C,C,PD-1,3,505.0,5,0,,,,0.186,0.222,0.382,0.382,,,8.895,8.594,,
9w43_AB,protenix,C,C,PD-1,4,234.0,5,0,,,,0.19,0.273,0.402,0.448,,,10.025,9.447,,
9w43_AB,protenix,C,C,PD-1,5,104.0,5,0,,,,0.203,0.28,0.407,0.466,,,8.94,9.039,,
9w43_AB,protenix,C,C,PD-1,6,48.0,5,0,,,,0.409,0.483,0.637,0.694,,,12.86,9.699,,
9w43_AB,protenix,C,C,PD-1,7,22.0,5,0,,,,0.269,0.448,0.479,0.632,,,12.215,10.403,,
9w43_AB,protenix,C,C,PD-1,8,11.0,5,0,,,,0.186,0.275,0.367,0.493,,,7.959,6.995,,
9w43_AB,protenix,C,C,PD-1,9,5.0,5,0,,,,0.25,0.325,0.481,0.523,,,6.814,5.807,,
9w43_AB,protenix,C,C,PD-1,10,2.0,5,0,,,,0.244,0.318,0.475,0.544,,,6.266,6.572,,
9w43_AB,protenix,C,C,PD-1,11,1.0,5,0,,,,0.192,0.237,0.403,0.468,,,6.937,6.707,,
9yc6_HL,protenix,C,C,uPAR,0,271.111,5,0,,,,0.215,0.304,0.823,0.871,,,9.459,7.351,,
9yc6_HL,protenix,C,C,uPAR,1,169.38,5,0,,,,0.168,0.407,0.704,0.886,,,14.934,11.489,,
9yc6_HL,protenix,C,C,uPAR,2,102.136,5,0,,,,0.148,0.232,0.714,0.789,,,14.937,12.225,,
9yc6_HL,protenix,C,C,uPAR,3,63.567,5,0,,,,0.188,0.308,0.759,0.913,,,12.487,4.328,,
9yc6_HL,protenix,C,C,uPAR,4,37.0,5,0,,,,0.175,0.231,0.801,0.853,,,11.542,8.285,,
9yc6_HL,protenix,C,C,uPAR,5,19.0,5,0,,,,0.286,0.359,0.884,0.916,,,9.338,7.928,,
9yc6_HL,protenix,C,C,uPAR,6,11.0,5,0,,,,0.188,0.4,0.759,0.92,,,15.94,8.993,,
9yc6_HL,protenix,C,C,uPAR,7,8.0,5,0,,,,0.238,0.375,0.833,0.916,,,13.89,3.422,,
9yc6_HL,protenix,C,C,uPAR,8,3.0,5,0,,,,0.106,0.161,0.615,0.762,,,14.475,12.71,,
9yc6_HL,protenix,C,C,uPAR,9,3.0,5,0,,,,0.088,0.133,0.633,0.773,,,10.661,11.93,,
9yc6_HL,protenix,C,C,uPAR,10,2.0,5,0,,,,0.063,0.098,0.499,0.614,,,15.621,15.385,,
9yc6_HL,protenix,C,C,uPAR,11,1.0,5,0,,,,0.064,0.09,0.466,0.636,,,15.711,16.318,,
9j4c_HL,protenix,C,C,PlexinA1,0,1032.685,5,0,,,,0.054,0.132,0.62,0.677,,,27.125,16.84,,
9j4c_HL,protenix,C,C,PlexinA1,1,625.088,5,0,,,,0.004,0.022,0.472,0.512,,,40.645,38.824,,
9j4c_HL,protenix,C,C,PlexinA1,2,351.454,5,0,,,,0.0,0.0,0.367,0.31,,,39.476,37.49,,
9j4c_HL,protenix,C,C,PlexinA1,3,195.327,5,0,,,,0.054,0.093,0.559,0.741,,,22.512,28.414,,
9j4c_HL,protenix,C,C,PlexinA1,4,104.233,5,0,,,,0.032,0.067,0.603,0.651,,,30.823,30.346,,
9j4c_HL,protenix,C,C,PlexinA1,5,50.1,5,0,,,,0.081,0.121,0.678,0.712,,,26.919,20.637,,
9j4c_HL,protenix,C,C,PlexinA1,6,27.0,5,0,,,,0.076,0.177,0.567,0.762,,,23.662,20.913,,
9j4c_HL,protenix,C,C,PlexinA1,7,11.0,5,0,,,,0.109,0.162,0.695,0.772,,,28.767,25.991,,
9j4c_HL,protenix,C,C,PlexinA1,8,8.0,5,0,,,,0.013,0.037,0.48,0.419,,,37.276,34.759,,
9j4c_HL,protenix,C,C,PlexinA1,9,3.0,5,0,,,,0.069,0.081,0.53,0.633,,,16.079,9.606,,
9j4c_HL,protenix,C,C,PlexinA1,10,1.0,5,0,,,,0.098,0.182,0.663,0.796,,,9.105,4.613,,
9j4c_HL,protenix,C,C,PlexinA1,11,1.0,5,0,,,,0.088,0.135,0.555,0.687,,,17.013,25.059,,
